,Revenue,Revenue Growth,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expense,Operating Expenses,Operating Income,Interest Expense,Earnings before Tax,Income Tax Expense,Net Income - Non-Controlling int,Net Income - Discontinued ops,Net Income,Preferred Dividends,Net Income Com,EPS,EPS Diluted,Weighted Average Shs Out,Weighted Average Shs Out (Dil),Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,Profit Margin,Free Cash Flow margin,EBITDA,EBIT,Consolidated Income,Earnings Before Tax Margin,Net Profit Margin,Cash and cash equivalents,Short-term investments,Cash and short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Tax assets,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,Net Cash/Marketcap,priceBookValueRatio,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,dividendYield,enterpriseValueMultiple,priceFairValue,ebitperRevenue,ebtperEBIT,niperEBT,grossProfitMargin,operatingProfitMargin,pretaxProfitMargin,netProfitMargin,effectiveTaxRate,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,nIperEBT,eBTperEBIT,eBITperRevenue,payablesTurnover,inventoryTurnover,fixedAssetTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,operatingCycle,daysOfPayablesOutstanding,cashConversionCycle,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,cashFlowToDebtRatio,companyEquityMultiplier,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,freeCashFlowOperatingCashFlowRatio,cashFlowCoverageRatios,shortTermCoverageRatios,capitalExpenditureCoverageRatios,dividendpaidAndCapexCoverageRatios,dividendPayoutRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Market Cap,Enterprise Value,PE ratio,Price to Sales Ratio,POCF ratio,PFCF ratio,PB ratio,PTB ratio,EV to Sales,Enterprise Value over EBITDA,EV to Operating cash flow,EV to Free cash flow,Earnings Yield,Free Cash Flow Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,Graham Number,ROIC,Return on Tangible Assets,Graham Net-Net,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Payables Turnover,Inventory Turnover,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,EPS Diluted Growth,Weighted Average Shares Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),10Y Shareholders Equity Growth (per Share),5Y Shareholders Equity Growth (per Share),3Y Shareholders Equity Growth (per Share),10Y Dividend per Share Growth (per Share),5Y Dividend per Share Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,Sector,2015 PRICE VAR [%],Class
TNDM,49722000,0.7141,34474000,15248000,15791000,75121000,90912000,-75664000,3901000,-79453000,71000,0,0,-79524000,0,-79524000,-34.17,-34.17,2350069,2327000,0,0.3067,-1.431,-1.5195,-1.599,-1.323,-71163000,-75552000,-79524000,-1.5979,-1.5994,33176000,36106000,69282000,7652000,11913000,90751000,12581000,2441000,0,0,15713000,106464000,1949000,0,18094000,29440000,29440000,840000,0,0,33798000,51892000,8000,-248715000,54572000,36106000,-39842000,1904000,16145000,4389000,14995000,-61378000,-4406000,0,-30891000,-35470000,-75000,3664000,0,3639000,0,-93209000,-65784000,0.1335,5.4845,5.7413,6.0025,0,0,-4.8626,,,5.9436265636940995,0,,5.415396173862099,-1.519488355,,,0.306665058,1,-1.521740879,-1.599372511,,-0.933,-1.4572,-2.4775,,,-1.519488355,8.3181,4.4708,3.9521500675622003,0.46703110910729995,5.016,4.251906709406399,1.833535979,-126.1311,56.1719,,14.3072,,0.2765,0.5395,0.35042612960053005,0.35042612960053005,-19.3673,-2.084850543,1.9508905665908998,-26.3765,-28.2699,14.257,0,-1.234423394,,-2.084850543,,-13.93054925,-13.93054925,,21.3674,-34.1745,-26.3765,-28.2699,14.257,23.451999999999998,44.703,23.4517,12.6515,298458763,258616763,0,6.0025,-4.8626,0,5.4845,5.7413,5.2013,0,-4.2135,-3.9313,-0.2691,-0.2204,0.5395,0.2765,0.5599,5.016,-19.3673,0.7718,0,0,1.5108,0.3176,0.0229,0,0.0886,-1.0039,0.3016,0,-2.4775,-0.933,0.1302,72657000,104023000,38859000,82193000,6475500,2150500,11121500,56.1719,14.3072,-126.1311,7.6785,8.3181,4.4708,-1.4572,-1.8934,1.4725,-0.2931,-0.5306,-0.2595,0.8408,0.8408,6.9096,6.9096,0,-0.2852,-0.2708,,,0,,,0,,,0,,,,,,0,0.444,0.1532,-0.3437,-0.9403,0.0015,0.4253,0.6873,Healthcare,-6.640317412,0
DXCM,259200000,0.62,82900000,176300000,69400000,128400000,197800000,-21500000,800000,-22300000,100000,0,0,-22400000,0,-22400000,-0.3,-0.3,76561868,75200000,0,0.6802,-0.051,-0.0829,-0.086,0.0285,-13100000,-21500000,-22400000,-0.086,-0.0864,72800000,11800000,84600000,42400000,16000000,145900000,31200000,5900000,0,0,38700000,184600000,20400000,2300000,40600000,2300000,4600000,700000,0,0,3800000,44400000,-100000,-497800000,140200000,11800000,-80000000,2900000,17900000,8400000,50000000,23600000,-16200000,0,-600000,-16800000,-2200000,24000000,0,21800000,0,28600000,7400000,0.019,30.1165,31.4396,16.2605,0,559.427,178.5903,175.41355932202998,,15.9712963,0,,29.5275321,-0.082947531,,,0.680169753,1,-0.082947531,-0.086419753,,-0.1641,-0.1598,-0.2178,,,-0.082947531,4.887,20.736,8.307692308,1.4041170097508002,3.594,3.128078818,1.7931034482758998,-70.4463,59.7068,,28.7269,,0.0249,0.0328,0.016140351,0.031767956,-26.875,5.130434782608701,1.316690442,0.3138,0.098,0.9681,0,0.091049383,0.313559322,5.130434782608701,10.26086957,1.456790123,1.456790123,,3.4468,-0.2979,0.3138,0.098,0.9681,1.864,2.376,1.8644,0.0612,4214730833,4134730833,0,16.2605,178.5903,559.427,30.1165,31.4396,15.9519,0,175.2005,558.7474,-0.0054,0.0018,0.0328,0.0249,6.1069,3.594,-26.875,-1.0536,0,0,0.4954,0.2677,0.032,0.6864,0.0625,-1.9286,0.1929,0,-0.2178,-0.1641,0.0241,105300000,178700000,101500000,69900000,34250000,17250000,12500000,59.7068,28.7269,-70.4463,7.5679,4.887,20.736,-0.1598,-0.2154,0.7612,0.2561,0.2561,0.2483,0.2857,0.2857,0.0577,0.0577,0,8.8333,2.3455,0,0.3878,0.4364,0,0,0,0,0,0,0,0,0.0538,0,0,0,0.6245,0.7778,0.5069,0.5757,-0.3235,0.5491,0.5249,Healthcare,50.24766840531304,1
LLY,19615600000,-0.1513,4932500000,14683100000,4733600000,6620800000,11682800000,3000300000,0,3000300000,609800000,0,0,2390500000,0,2390500000,2.23,2.23,1113429817,1069932000,1.96,0.7485,0.223,0.153,0.122,0.1688,4379300000,3000300000,2390500000,0.153,0.1219,9277200000,955400000,10232600000,3801300000,2740000000,11928300000,7963900000,4642300000,4568900000,0,24379300000,36307600000,1128100000,2688700000,9741000000,5332800000,8021500000,0,1092000000,0,11178500000,20919500000,-3991800000,16482700000,15373200000,5524300000,-2211100000,-4845600000,5924200000,1379000000,156000000,4458400000,-1147300000,-5957000000,3623000000,-3909100000,2638700000,-800000000,-2101200000,-166400000,-341500000,41400000,3311100000,0.0288,4.7817,6.8504,3.9160000000000004,30.9372,22.2931,17.2294,14.76529678,27.538004254675002,3.355981931,0.031918773,18.36814084,4.282101265,0.152954791,1,0.796753658,0.748541977,1,0.152954791,0.12186728930035001,0.20324634203245998,0.2355,0.1555,0.0987,0.796753658,1,0.152954791,4.5575,6.9205,2.463064579,0.540261543,1.225,1.44070424,0.9523868186017901,-202.7572,70.7332,,20.9913,,0.2209,0.5218,0.257548537,0.342876805,0,0.555806271,2.3617464158406003,4.167,3.095,8.6708,0.879,0.22728848467545998,0.74266553,0.555806271,1.6581991296908998,3.885993201,1.3724488225334999,0.878979293,18.3335,2.2343,4.167,3.095,8.6708,14.368,29.596,14.3684,7.4972,76815523075,74604423075,30.9372,3.9160000000000004,17.2294,22.2931,4.7817,6.8504,3.8033,17.0357,16.7335,22.5316,0.0323,0.0431,0.5218,0.2209,-0.5049,1.225,0,1.865,0.0284,0.879,0.3375,0.2413,0.1279,0.2573,0.0585,-0.832,0.008,26.9059,0.0987,0.2355,-0.117,2187300000,31665300000,-8991200000,20668600000,3912050000,1123700000,2834400000,70.7332,20.9913,-202.7572,5.0141,4.5575,6.9205,0.1555,-1.0723,-0.1935,-0.4906,-0.4906,-0.4897,-0.485,-0.4838,-0.0101,-0.0097,0,-0.2226,-0.3246,0.0412,-0.0072,-0.0439,0.0509,0.0201,-0.1263,0.034,-0.0992,-0.1589,0.0406,0.1163,0.0711,0.0328,0,0,-0.0551,-0.0645,0.03,-0.1192,0.5388,-0.1442,-0.0708,Healthcare,23.477397711614906,1
HSIC,10371390000,0.0848,7460075000,2911315000,0,2196173000,2196173000,715142000,24057000,681687000,215610000,39359000,0,466077000,0,466077000,2.765,2.72,168429430,168530000,0,0.2807,0.083,0.068,0.045,0.0492,857982000,705744000,505436000,0.0657,0.0449,89474000,0,89474000,1127517000,1327796000,2913166000,311496000,2527859000,386286000,56591000,3225641000,6138807000,860996000,188714000,1780111000,542776000,731490000,0,404280000,0,977724000,2757835000,-95132000,2642523000,2813594000,386286000,642016000,368379000,730401000,152238000,45876000,592504000,-82116000,-424283000,3250000,-516639000,238334000,-268498000,0,-154647000,-20360000,-99142000,510388000,-0.0707,3.2030000000000003,31.5399,0.8759,19.5072,17.8101,15.3326,19.5607255,24.86672395,1.117478766,0,14.24512181,4.1192183733687004,0.068047195,0.9659125688635001,0.683711146,0.28070634697953006,1,0.068953342,0.044938720846482004,0.316288854,0.3226,0.1657,0.1149,0.683711146,0.9659125688635001,0.068047195,3.2063,8.0455,33.29541952,1.6894797311594998,1.6369999999999998,0.683660176,0.050263158,-64.9652,39.6807,,30.301,,0.1192,0.26,0.16171518634715001,0.20633925740547002,29.3363,0.8099960354892098,2.1818382467406003,3.5157,3.028,0.5309,0,0.057128697,0.861408531,0.8099960354892098,3.139692869,7.215451313,7.215451313,0,61.5403,2.7655,3.5157,3.028,0.5309,16.695,21.426,16.6949,4.3404,9084628695,9726644695,19.5072,0.8759,15.3326,17.8101,3.2030000000000003,31.5399,0.9378,11.3367,16.4162,19.0574,0.0513,0.0562,0.26,0.1192,0.7483,1.6369999999999998,29.3363,1.2713,0,0,0.2118,0,0.4118,0.1386,0.0079,-0.5394,0.0044,32.3666,0.1149,0.3226,0.0171,1133055000,3610948000,155331000,2472853000,1091366500,842745500,1289099500,39.6807,30.301,-64.9652,9.5031,3.2063,8.0455,0.1657,-0.4872,0.0961,0.0858,0.0563,0.08,0.1016,0.1034,-0.0193,-0.0215,0,-0.1079,-0.1549,0.1066,0.1084,0.0915,0.1288,0.0944,0.0454,0.1524,0.0958,0.1068,0.1017,0.0654,0.0735,0,0,0,0.0685,0.0619,0.0914,0.0301,0.5077,0,0.1098,Healthcare,15.602159238470142,1
CYH,18639000000,0.45399999999999996,2862000000,15777000000,0,12940000000,14397000000,1380000000,972000000,174000000,82000000,111000000,57000000,92000000,0,92000000,0.82,0.82,116331829,111579088,0,0.8465,0.125,0.0615,0.005,-0.1223,2333000000,1146000000,203000000,0.0093,0.0049,509000000,0,509000000,3409000000,557000000,5566000000,10169000000,8951000000,0,371000000,21855000000,27421000000,1293000000,235000000,3589000000,16681000000,16916000000,0,868000000,0,19218000000,22807000000,-63000000,1977000000,4003000000,0,16407000000,1091000000,2061000000,1187000000,54000000,1615000000,-3894000000,88000000,-545000000,-4351000000,3079000000,45000000,0,2872000000,0,136000000,-2279000000,-3.1649,1.2658,0,0.2781,54.3439,0,3.2099,3.725290666,65.3950481,0.322782576,0,9.946997182,1.502958887,0.061483985192339004,0.151832461,0.528735632,0.8464509898599699,1,0.074038307,0.004935887,0.47126436781609005,0.0076,0.023,0.0376,0.528735632,0.151832461,0.061483985192339004,4.3872,40.1703,1.8329235913068997,0.67973451,1.551,1.091668989,0.141822235,-71.036,66.7571,,25.3203,,0.6169,4.2258,0.806468768,0.808642861,1.179,0.095471743,6.850112416,14.474,-20.425,4.5618,0,0.086646279,-1.411145511,0.095471743,6.872340426,0.414740627,0.414740627,0,167.0474,0.8245,14.474,-20.425,4.5618,35.876,165.533,35.8759,151.6055,5183978964,21590978964,54.3439,0.2781,3.2099,0,1.2658,0,1.1584,9.2546,13.369000000000002,-9.4739,0.0184,-0.4396,4.2258,0.6169,7.0326,1.551,1.179,17.5543,0,0,0.6942,0,0.3264,2.4111,0.2089,-3.2805,0.0029,25.4863,0.0376,0.0076,-3.3258,1977000000,18470000000,-17241000000,31288000000,2866000000,1121000000,464000000,66.7571,25.3203,-71.036,6.5035,4.3872,40.1703,0.023,-34.899,0.4549,0.3357,0.5049,-0.3475,-0.4605,-0.457,0.2045,0.1997,0,0.483,-6.2032,0.1743,0.0521,0.0807,0.1557,0.0403,0.0105,-0.0632,-0.2102,-0.2838,0.1071,0.1076,0.1042,0,0,0,0.4675,0.5013,0.602,0.0832,0.7895,0,0.4499,Healthcare,-50.69689672,0
THC,16603000000,0.4975,0,16603000000,0,8023000000,15690000000,913000000,754000000,61000000,49000000,64000000,0,12000000,0,12000000,0.12,0.12,98280152,97801000,0,1,0.1,0.0491,0.001,-0.0145,1664000000,815000000,76000000,0.0037,0.0007,193000000,0,193000000,2404000000,276000000,3970000000,7733000000,5001000000,384000000,865000000,13981000000,17951000000,1179000000,112000000,3577000000,11505000000,11617000000,0,0,0,13188000000,16765000000,-182000000,-1410000000,651000000,384000000,11424000000,1097000000,2286000000,849000000,51000000,687000000,-927000000,-428000000,40000000,-1322000000,713000000,26000000,0,715000000,0,80000000,-240000000,-2.294,7.6533,0,0.2999,422.25,0,7.2487,7.2133575982533005,412.9647225,0.298474774,0,10.00815906,7.612252949308799,0.049087514,0.074846626,0.19672131147541003,1,1,0.054990062036980994,0.000722761,0.803278689,0.0015,0.0184,0.0415,0.19672131147541003,0.074846626,0.049087514,3.9443,61.9515,2.1470322,0.9249066904350699,1.11,0.726027397,0.053955829,0,52.8495,,25.9191,,0.6472,17.8449,0.946446199,0.9469351157482899,1.0809,0.059137471,27.574500768049003,7.0245,-2.454,1.9734,0,0.041378064,-0.349344978,0.059137471,6.133928571,0.741100324,0.741100324,0,169.7631,0.1227,7.0245,-2.454,1.9734,6.656000000000001,132.412,6.6564,118.78200000000001,4979855302,16403855302,422.25,0.2999,7.2487,0,7.6533,0,0.988,9.8581,23.8775,-68.3494,0.0024,-0.0482,17.8449,0.6472,6.8654,1.11,1.0809,57.25,0,0,0.4832,0,0.2786,1.3493,0.0558,-1.0919,0.0031,4.2281,0.0415,0.0015,-2.5694,393000000,12950000000,-12795000000,20797000000,2147000000,1132000000,268000000,52.8495,25.9191,0,7.7331,3.9443,61.9515,0.0184,-9.4784,0.4975,1.9636,0.409,1.0896,1.0909,1.0909,-0.0378,-0.0134,0,0.1664,-1.9268,0.0848,0.1963,0.3198,0,0.1469,0.1831,0,-0.3984,-0.4425,-0.0754,0.0435,-0.1816,0,0,0,0.272,0.0615,0.0912,-0.1039,0.0708,0,0.4938,Healthcare,-39.65345591,0
SRNE,3825000,7.3152,2043000,1782000,23983000,9987000,36524000,-34742000,1629000,-36359000,-1702000,0,0,-34657000,0,-34657000,-1.3,-1.3,28932850,26679000,0,0.4659,-8.247,-9.0797,-9.061,-7.6745,-31546000,-34730000,-34657000,-9.5056,-9.0607,71902000,0,71902000,732000,0,73915000,2277000,28398000,10000000,0,67626000,141541000,1656000,3316000,9557000,8830000,12146000,1024000,1709000,0,23271000,32828000,0,-67518000,108713000,10000000,-59756000,1281000,4585000,3184000,3940000,-28764000,-591000,0,-10000000,-10591000,7500000,72090000,0,79590000,0,40235000,-29355000,0.2051,2.7483,3.7201,76.1709,0,0,-10.1291,,,70.23726275,0,,2.471254864,-9.079738562,,,0.465882353,1,-9.082875817,-9.060653595,,-0.5201,-0.3188,-0.3425,,,-9.079738562,0.419,0,1.679841897,0.027023972,7.734,7.600083708,7.523490635,0,69.851,,158.0235,,0.0858,0.1117,0.075121445,0.10049727368255999,-21.3198,-2.368187057,1.3019694056828999,-1.0782,-1.1,2.6951,0,-7.52,,-2.368187057,-8.674306393,-48.67005076,-48.67005076,,0.1434,-1.299,-1.0782,-1.1,2.6951,4.075,4.2410000000000005,4.0749,0.4553,291353799.5,231597799.5,0,76.1709,-10.1291,0,2.7483,3.7201,60.5484,0,-8.0517,-7.8896,-0.1291,-0.1008,0.1117,0.0858,1.8942,7.734,-21.3198,0.83,0,0,2.611,6.2701,0.2006,0,0.1545,-0.1856,1.0301,0,-0.3425,-0.5201,0.141,64358000,113143000,41087000,43830000,563000,1904500,0,69.851,158.0235,0,6.794,0.419,0,-0.3188,-0.0222,2.9079,-0.6036,-0.6034,-0.5817,0.1096,0.1096,0.7732,0.7732,0,-0.7444,-0.7361,,0,0.3908,,0,0,,0,0,,0.5059,1.1256,,0,0,0.8579,0,0.5288,-0.0822,1.5278,1.6598,0.581,Healthcare,-14.27165188,0
OPK,91125000,-0.056,48009000,43116000,83571000,57940000,188931000,-145815000,12263000,-171642000,24000,-2972000,0,-171666000,0,-171666000,-0.41,-0.41,434144555,422014039,0,0.4732,-1.585,-1.749,-1.884,-1.0438,-144452000,-159379000,-174638000,-1.8836,-1.8839,96907000,0,96907000,19969000,16604000,142869000,16411000,286941000,22453000,0,1124795000,1267664000,8744000,13455000,83111000,131454000,144909000,0,167153000,0,348812000,431923000,-12392000,-674843000,842144000,22453000,48002000,9389000,60912000,14927000,14779000,-90379000,-4734000,-1683000,742000,-5675000,-1926000,12928000,0,7263000,-100000,-88891000,-95113000,-0.0111,5.1259,7.7751,47.5951,0,0,-47.988,,,46.26524279,0,,5.006175012,-1.749015089,,,0.473152263,1,-1.600164609,-1.883851852,,-2.2538,-0.2038,-0.0823,,,-1.749015089,2.3046,5.2547,5.552678081774401,0.07188419,1.719,1.406263912,1.165994874,-126.2359,79.9856,,35.024,,0.1143,0.1721,0.13501876544528998,0.146809746,-12.9967,-0.623694871,1.505281757,-0.2142,-0.225,0.2296,0,-0.991813443,,-0.623694871,-6.717131178,-19.09146599,-19.09146599,,0.2159,-0.4068,-0.2142,-0.225,0.2296,1.996,2.324,1.9955,0.3434,4337104104,4385106104,0,47.5951,-47.988,0,5.1259,7.7751,48.1219,0,-48.5191,-46.1042,-0.041,-0.0219,0.1721,0.1143,-0.3323,1.719,-12.9967,0.5265,0,0,0.6358,0.9171,0.2264,0,0.052000000000000005,-0.3171,0.1622,0,-0.0823,-2.2538,-0.0666,59758000,980723000,-289054000,945614000,19868000,11079000,17341500,79.9856,35.024,-126.2359,4.5865,2.3046,5.2547,-0.2038,-0.0112,-0.0955,-0.611,-0.8311,-0.495,-0.2813,-0.2813,0.1885,0.1885,0,-0.624,-0.6127,0,0.6276,0.2938,0,0,0,0,0,0,0.1253,0.7125,0.5156,0,0,0,0.0102,-0.0816,-0.089,-0.1912,-0.3545,0.5504,0.0474,Healthcare,1.2084580248858088,1
BAX,10719000000,0.1387,6138000000,4581000000,610000000,3315000000,3925000000,656000000,145000000,2530000000,33000000,0,-2040000000,2497000000,0,2497000000,4.61,4.56,541978180,542000000,2.05,0.4274,0.32299999999999995,0.2496,0.233,0.2136,3467000000,2675000000,2497000000,0.23600000000000002,0.233,2925000000,0,2925000000,1884000000,1577000000,10162000000,4434000000,4547000000,0,0,15976000000,26138000000,2677000000,1698000000,6037000000,7331000000,9029000000,0,336000000,0,11945000000,17982000000,-3650000000,13227000000,8120000000,0,6104000000,3776000000,1662000000,792000000,126000000,3215000000,-925000000,4000000,0,-1542000000,-113000000,-181000000,-1095000000,-1402000000,0,192000000,2290000000,-0.2829,2.6573,6.0389,2.0129,8.6356,9.4223,6.7111,6.325671042,8.144586464,1.8972882171843999,0.053842664,8.824064725,2.50456064,0.24955686164753998,0.945794393,0.9869565217391301,0.42737195633921005,1,0.061199738781602994,0.23295083496595004,0.013043478260870002,0.2917,0.3075,0.0218,0.9869565217391301,0.945794393,0.24955686164753998,0.8102,4.2234,2.417456022,0.410092586,1.683,0.796587709,0.484512175,-93.7773,64.1534,,91.1564,,0.3454,1.1119,0.474467672,0.526503003,18.4483,0.35607487,3.218965517,5.9317,4.225,5.3967,0.445,0.299934695,0.712286159,0.35607487,1.893404005,3.475675676,1.5915841584158001,0.438526231,19.7768,4.607,5.9317,4.225,5.3967,14.982000000000001,39.836,14.9815,16.6587,21576097148,27680097147.982002,8.6356,2.0129,6.7111,9.4223,2.6573,6.0389,2.5823,7.9839,8.6097,12.0874,0.1158,0.1061,1.1119,0.3454,1.7606,1.683,18.4483,1.2875,0.0515,0.445,0.3093,0.0569,0.174,0.2877,0.0863,-1.1679,0.0118,39.4209,0.0218,0.2917,-0.3624,4125000000,21591000000,-7820000000,21658000000,2397500000,3442500000,2538000000,64.1534,91.1564,-93.7773,4.4709,0.8102,4.2234,0.3075,-1.7066,0.1007,0.2159,0.3226,0.2411,0.2459,0.2459,-0.0018,-0.0036,0.0677,0.0053,-0.0811,0.0248,-0.009,-0.0678,0.1019,0.0436,0.0621,0.2198,0.0487,0.0563,0.0952,0.0481,0.0899,0.1342,0.1389,0.1746,-0.3528,-0.5493,0.0362,-0.0388,-0.0149,0.0481,0.0749,Healthcare,-0.808238425,0
AGN,4676500000,0.7969,1704800000,2971700000,605700000,2267400000,5538900000,-2567200000,411800000,-2144100000,-513600000,0,-854100000,-1630500000,0,-1630500000,-7.42,-7.42,265061115,219700000,0.2,0.6355,0.23399999999999999,-0.3704,-0.349,0.4315,1096100000,-1732300000,-1630500000,-0.4585,-0.3487,250000000,1000000,251000000,1112300000,984600000,7110600000,283400000,36988300000,153300000,511700000,45647400000,52758000000,3030100000,693400000,5247500000,14837700000,15531100000,0,3618200000,0,19175000000,24422500000,-465400000,-198200000,28331100000,154300000,15280100000,4762700000,1524000000,2828400000,316900000,2243000000,-224900000,-5598400000,452700000,-5370600000,3229200000,-24200000,0,3017500000,-5900000,-79000000,2018100000,-0.224,1.9961,0,14.5898,0,28.0229,30.4188,24.20627762,,11.610110274777998,0,63.299316394490006,1.9164339083197999,-0.370426601,,,0.635453865,1,-0.548957554,-0.348658185,,-0.7596,-0.0576,-0.0335,,,-0.370426601,0.1315,3.3754,16.50141143,0.088640585,1.355,0.259799905,0.047641734159123005,-210.8042,86.8148,,236.4988,,0.2944,0.5482,0.34371351531662003,0.35408848621364003,-4.2067,0.14441990586629003,1.8621938435146999,10.2094,9.186,1.1379,-0.027,0.479632204,0.8997325011145799,0.14441990586629003,3.234785117,9.973321476211598,9.973321476211598,,21.2858,-7.4215,10.2094,9.186,1.1379,128.954,71.778,128.9536,70.6923,68229381612,83509481612,0,14.5898,30.4188,28.0229,1.9961,0,17.8573,76.1878,37.2312,41.3802,-0.0288,0.0296,0.5482,0.2944,13.9404,1.355,-4.2067,-1.3757,0.0008,-0.027,0.4848,0.1295,0.7011,0.1003,0.0481,-0.0795,0.0678,0,-0.0335,-0.7596,-0.2537,1863100000,15769700000,-17311900000,25803300000,1258600000,2686650000,1385450000,86.8148,236.4988,-210.8042,3.7156,0.1315,3.3754,-0.0576,-1.0237,2.1026,-1.6014,-5.9534,-1.1728,-0.408,-0.408,0.5439,0.5439,1,0.8484,0.9355,0.0354,-0.0436,-0.167,0.1372,0.2326,0.2623,0,0,0,0.20199999999999999,0.3497,0.6516,0,0,0,-0.2083,-0.4488,1.3215,0.9251,0.7158,2.1662,1.7288,Healthcare,20.63937304,1
HCA,36918000000,0.08,22903000000,14015000000,0,0,8653000000,5362000000,1743000000,2983000000,1108000000,498000000,0,1875000000,0,1875000000,4.3,4.16,433563800,435668000,0,0.3796,0.177,0.128,0.051,0.0615,6546000000,4726000000,2373000000,0.0808,0.0508,566000000,0,566000000,5694000000,1279000000,8930000000,14355000000,6416000000,659000000,366000000,22050000000,30980000000,2035000000,338000000,5480000000,29088000000,29426000000,0,1832000000,0,31998000000,37478000000,-323000000,-7575000000,-7894000000,659000000,28860000000,1391000000,3107000000,1820000000,163000000,4448000000,-2176000000,-715000000,-37000000,-2918000000,705000000,-1750000000,0,-1378000000,0,152000000,2272000000,-0.907,0,0,0.8619,17.0674,14.0729,7.1536,7.0598588964029005,16.747867931307002,0.850594625,0,9.327261284937402,,0.12801343518067002,0.631189166,0.6285618504860899,0.37962511511999997,1,0.145240804,0.050788233382089994,0.37143814951390997,0.1053,-0.2375,0.1404,0.6285618504860899,0.631189166,0.12801343518067002,5.0214,30.0391,2.571786834,1.1916720464816002,1.63,1.142335766,0.10328467153285001,-20.3831,56.2953,,20.1196,,0.9498,-3.7276,1.3724639048787002,1.366617128,2.7114,0.15115883912186998,,10.2096,5.215,1.2992,0,0.120483233,0.510791367,0.15115883912186998,13.15976331,2.0441176470588003,2.0441176470588003,0,84.7388,4.3037,10.2096,5.215,1.2992,-18.119,56.382,-18.1193,67.5423,31819247282,60679247282,17.0674,0.8619,7.1536,14.0729,0,0,1.6436,9.2697,13.6419,26.7074,0.0586,0.0714,-3.7276,0.9498,4.4088,1.63,2.7114,2.3723,0,0,0,0,0.2071,0.4892,0.0589,-1.1956,0.0044,0,0.1404,0.1053,-0.8972,3450000000,24564000000,-28548000000,47944000000,5451000000,1919000000,1229000000,56.2953,20.1196,-20.3831,6.7727,5.0214,30.0391,-0.2375,-4.9946,0.1153,0.0854,0.1718,0.205,0.2286,0.2344,-0.0211,-0.025,0,0.2087,0.308,,0.0614,0.1081,,0.096,0.0735,,0.1168,-0.0594,,0,0,,0,0,0.0933,0.0848,0.0745,0.0249,0.037000000000000005,0,0,Healthcare,-8.571048764,0
